,E-waste Collection Points,Collection Type,Postal Code,Remarks,Website,Full,lat,lng,color,hover_text
285,FAIRPRICE @ DAWSON PLACE,Retailer E-bin,142057,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 57 DAWSON RD, DAWSON PLACE, #01-07 SINGAPORE",1.2925627,103.8114104,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ DAWSON PLACE<br>Address:  BLK 57 DAWSON RD, DAWSON PLACE, #01-07 SINGAPORE<br>Latitude: 1.2925627<br>Longitude: 103.8114104"
286,FAIRPRICE @ DEPOT HEIGHTS SHOPPING CENTRE,Retailer E-bin,100108,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01 SINGAPORE",1.2812742,103.8099871,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ DEPOT HEIGHTS SHOPPING CENTRE<br>Address:  BLK 108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01 SINGAPORE<br>Latitude: 1.2812742<br>Longitude: 103.8099871"
287,FAIRPRICE @ E!HUB,Retailer E-bin,519599,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"E!HUB DOWNTOWN EAST 1 PASIR RIS CLOSE #02-127, #02-127 SINGAPORE",1.3758628,103.9555587,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ E!HUB<br>Address:  E!HUB DOWNTOWN EAST 1 PASIR RIS CLOSE #02-127, #02-127 SINGAPORE<br>Latitude: 1.3758628<br>Longitude: 103.9555587"
288,FAIRPRICE @ EASTPOINT,Retailer E-bin,528833,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"3 SIMEI ST 6, EASTPOINT, #05-01 SINGAPORE",1.3427145,103.9530415,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ EASTPOINT<br>Address:  3 SIMEI ST 6, EASTPOINT, #05-01 SINGAPORE<br>Latitude: 1.3427145<br>Longitude: 103.9530415"
289,FAIRPRICE @ HILLION MALL,Retailer E-bin,678278,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"17 PETIR RD, HILLION MALL, #B2-67 SINGAPORE",1.378531,103.7632107,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ HILLION MALL<br>Address:  17 PETIR RD, HILLION MALL, #B2-67 SINGAPORE<br>Latitude: 1.378531<br>Longitude: 103.7632107"
290,FAIRPRICE @ HOMETEAM NS BUKIT BATOK CLUBHOUSE,Retailer E-bin,659003,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10 SINGAPORE",1.3658026,103.7497545,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ HOMETEAM NS BUKIT BATOK CLUBHOUSE<br>Address:  2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10 SINGAPORE<br>Latitude: 1.3658026<br>Longitude: 103.7497545"
291,FAIRPRICE @ HOUGANG 1,Retailer E-bin,538692,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"1 HOUGANG ST 91, HOUGANG 1, #02-01, ESCALATOR WALKWAY SINGAPORE",1.3758021,103.8794307,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ HOUGANG 1<br>Address:  1 HOUGANG ST 91, HOUGANG 1, #02-01, ESCALATOR WALKWAY SINGAPORE<br>Latitude: 1.3758021<br>Longitude: 103.8794307"
292,FAIRPRICE @ JEM,Retailer E-bin,608549,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01, CASHIER AREA SINGAPORE",1.3328361,103.7430889,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ JEM<br>Address:  50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01, CASHIER AREA SINGAPORE<br>Latitude: 1.3328361<br>Longitude: 103.7430889"
293,FAIRPRICE @ JOO CHIAT COMPLEX,Retailer E-bin,420002,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"2 JOO CHIAT RD, JOO CHIAT COMPLEX, #01-1139 / #02-1139 SINGAPORE",1.315516,103.8988364,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ JOO CHIAT COMPLEX<br>Address:  2 JOO CHIAT RD, JOO CHIAT COMPLEX, #01-1139 / #02-1139 SINGAPORE<br>Latitude: 1.315516<br>Longitude: 103.8988364"
294,FAIRPRICE @ JUNCTION 8 SHOPPING CENTRE,Retailer E-bin,579837,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #B1-01 SINGAPORE",1.3506808,103.8487631,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ JUNCTION 8 SHOPPING CENTRE<br>Address:  9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #B1-01 SINGAPORE<br>Latitude: 1.3506808<br>Longitude: 103.8487631"
295,FAIRPRICE @ JURONG POINT,Retailer E-bin,648331,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"63 JURONG WEST CENTRAL 3, JURONG POINT, #03-01, CASHIER AREA SINGAPORE",1.3397443,103.7067297,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ JURONG POINT<br>Address:  63 JURONG WEST CENTRAL 3, JURONG POINT, #03-01, CASHIER AREA SINGAPORE<br>Latitude: 1.3397443<br>Longitude: 103.7067297"
296,FAIRPRICE @ JURONG POINT 1,Retailer E-bin,648886,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"NO. 1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09 SINGAPORE",1.3397443,103.7067297,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ JURONG POINT 1<br>Address:  NO. 1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09 SINGAPORE<br>Latitude: 1.3397443<br>Longitude: 103.7067297"
297,FAIRPRICE @ KALLANG WAVE MALL,Retailer E-bin,397628,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"1 STADIUM PLACE LEVEL 1 #01-29, CASHIER AREA SINGAPORE",1.3025249,103.8736219,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ KALLANG WAVE MALL<br>Address:  1 STADIUM PLACE LEVEL 1 #01-29, CASHIER AREA SINGAPORE<br>Latitude: 1.3025249<br>Longitude: 103.8736219"
298,FAIRPRICE @ KAMPUND ADMIRALTY,Retailer E-bin,730676,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 676 WOODLANDS DR 71, KAMPUND ADMIRALTY, #B1-02 SINGAPORE",1.4397745,103.8008056,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ KAMPUND ADMIRALTY<br>Address:  BLK 676 WOODLANDS DR 71, KAMPUND ADMIRALTY, #B1-02 SINGAPORE<br>Latitude: 1.4397745<br>Longitude: 103.8008056"
299,FAIRPRICE @ KATONG VILLAGE HOTEL,Retailer E-bin,428751,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"30 EAST COAST RD KATONG VILLAGE HOTEL #01-06/07/08/09, #01-06 SINGAPORE",1.3041847,103.9026906,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ KATONG VILLAGE HOTEL<br>Address:  30 EAST COAST RD KATONG VILLAGE HOTEL #01-06/07/08/09, #01-06 SINGAPORE<br>Latitude: 1.3041847<br>Longitude: 103.9026906"
300,FAIRPRICE @ LOT 1 SHOPPERS' MALL,Retailer E-bin,689812,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03 SINGAPORE",1.3851169,103.7449142,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ LOT 1 SHOPPERS' MALL<br>Address:  21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03 SINGAPORE<br>Latitude: 1.3851169<br>Longitude: 103.7449142"
301,FAIRPRICE @ MARSLING MRT,Retailer E-bin,739044,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"71 WOODLANDS AVE 3, MARSLING MRT, #01-01 SINGAPORE",1.4323902,103.7741183,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ MARSLING MRT<br>Address:  71 WOODLANDS AVE 3, MARSLING MRT, #01-01 SINGAPORE<br>Latitude: 1.4323902<br>Longitude: 103.7741183"
302,FAIRPRICE @ NEX MALL,Retailer E-bin,556083,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"23 SERANGOON CENTRAL, NEX MALL, #03-42, IN-STORE SINGAPORE",1.3506853,103.8719911,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ NEX MALL<br>Address:  23 SERANGOON CENTRAL, NEX MALL, #03-42, IN-STORE SINGAPORE<br>Latitude: 1.3506853<br>Longitude: 103.8719911"
303,FAIRPRICE @ NO. 6 MARINE PARADE CENTRAL,Retailer E-bin,449411,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,NO. 6 MARINE PARADE CENTRAL SINGAPORE,1.3013854,103.9072395,#0000ff,Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ NO. 6 MARINE PARADE CENTRAL<br>Address:  NO. 6 MARINE PARADE CENTRAL SINGAPORE<br>Latitude: 1.3013854<br>Longitude: 103.9072395
304,FAIRPRICE @ NUH MEDICAL CENTRE,Retailer E-bin,119082,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16 SINGAPORE",1.2934082,103.7845638,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ NUH MEDICAL CENTRE<br>Address:  1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16 SINGAPORE<br>Latitude: 1.2934082<br>Longitude: 103.7845638"
305,FAIRPRICE @ OUR TAMPINES HUB,Retailer E-bin,528523,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"1 TAMPINES WALK, OUR TAMPINES HUB, #B1-01 SINGAPORE",1.3536067,103.9403839,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ OUR TAMPINES HUB<br>Address:  1 TAMPINES WALK, OUR TAMPINES HUB, #B1-01 SINGAPORE<br>Latitude: 1.3536067<br>Longitude: 103.9403839"
306,FAIRPRICE @ PARKWAY PARADE,Retailer E-bin,449269,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"80 MARINE PARADE RD, PARKWAY PARADE, #03-28, CASHIER AREA SINGAPORE",1.3013366,103.9052333,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ PARKWAY PARADE<br>Address:  80 MARINE PARADE RD, PARKWAY PARADE, #03-28, CASHIER AREA SINGAPORE<br>Latitude: 1.3013366<br>Longitude: 103.9052333"
307,FAIRPRICE @ PASIR RIS WEST PLAZA,Retailer E-bin,510734,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"734 PASIR RIS ST 72, PASIR RIS WEST PLAZA, #01-37 SINGAPORE",1.379861,103.9361799,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ PASIR RIS WEST PLAZA<br>Address:  734 PASIR RIS ST 72, PASIR RIS WEST PLAZA, #01-37 SINGAPORE<br>Latitude: 1.379861<br>Longitude: 103.9361799"
308,FAIRPRICE @ PAYA LEBAR QUARTER,Retailer E-bin,409057,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"10 PAYA LEBAR RD, PAYA LEBAR QUARTER, #B2-09 SINGAPORE",1.3175284,103.8928037,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ PAYA LEBAR QUARTER<br>Address:  10 PAYA LEBAR RD, PAYA LEBAR QUARTER, #B2-09 SINGAPORE<br>Latitude: 1.3175284<br>Longitude: 103.8928037"
309,FAIRPRICE @ SENJA GRAND,Retailer E-bin,670628,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 628 SENJA RD, SENJA GRAND, #01-01 SINGAPORE",1.3851762,103.7604533,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ SENJA GRAND<br>Address:  BLK 628 SENJA RD, SENJA GRAND, #01-01 SINGAPORE<br>Latitude: 1.3851762<br>Longitude: 103.7604533"
310,FAIRPRICE @ SERANGOON GARDEN VILLAGE,Retailer E-bin,556679,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"1 MAJU AVE, SERANGOON GARDEN VILLAGE, #B1-11 SINGAPORE",1.3650428,103.8651508,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ SERANGOON GARDEN VILLAGE<br>Address:  1 MAJU AVE, SERANGOON GARDEN VILLAGE, #B1-11 SINGAPORE<br>Latitude: 1.3650428<br>Longitude: 103.8651508"
311,FAIRPRICE @ SINGPOST CENTRE,Retailer E-bin,408600,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"10 EUNOS RD, 8 SINGPOST CENTRE #B1-101 TO 107 SINGAPORE",1.318983,103.8948672,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ SINGPOST CENTRE<br>Address:  10 EUNOS RD, 8 SINGPOST CENTRE #B1-101 TO 107 SINGAPORE<br>Latitude: 1.318983<br>Longitude: 103.8948672"
312,FAIRPRICE @ TAMAN JURONG SHOPPING CENTRE,Retailer E-bin,610399,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35 SINGAPORE",1.334643,103.7204943,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ TAMAN JURONG SHOPPING CENTRE<br>Address:  BLK 399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35 SINGAPORE<br>Latitude: 1.334643<br>Longitude: 103.7204943"
313,FAIRPRICE @ TAMPINES MALL,Retailer E-bin,529510,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #B1-12 SINGAPORE",1.3524936,103.9447179,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ TAMPINES MALL<br>Address:  4 TAMPINES CENTRAL 5, TAMPINES MALL, #B1-12 SINGAPORE<br>Latitude: 1.3524936<br>Longitude: 103.9447179"
314,FAIRPRICE @ TANJONG PAGAR PLAZA,Retailer E-bin,82001,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"TANJONG PAGAR PLAZA, #01-01 SINGAPORE",1.2748632,103.8426344,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ TANJONG PAGAR PLAZA<br>Address:  TANJONG PAGAR PLAZA, #01-01 SINGAPORE<br>Latitude: 1.2748632<br>Longitude: 103.8426344"
